Da	pi1	pi2	pi3	pi4	tau	zp
0.01071146	0.773642146	30.80812499	18.48487499	14.81381528	2.665203526	1.295853606
0.01071146	0.773642146	30.80812499	21.56568749	15.60813099	1.922587416	2.021824298
0.01071146	0.773642146	30.80812499	24.64649999	17.02189929	1.882459704	3.419225248
0.01071146	0.773642146	30.80812499	27.72731249	20.07908304	0.895623805	7.220838643
0.01071146	0.773642146	30.80812499	18.48487499	14.81381528	2.51597264	0.96097009
0.01071146	0.773642146	30.80812499	21.56568749	15.60813099	1.776643609	1.581047437
0.01071146	0.773642146	30.80812499	24.64649999	17.02189929	1.951817932	2.774617209
0.01071146	0.773642146	30.80812499	27.72731249	20.07908304	1.120144544	6.021710204
0.01071146	0.773642146	30.80812499	18.48487499	14.81381528	2.570396819	0.480485045
0.01071146	0.773642146	30.80812499	21.56568749	15.60813099	2.03735129	0.948628462
0.01071146	0.773642146	30.80812499	24.64649999	17.02189929	2.330471272	1.849744806
0.01071146	0.773642146	30.80812499	27.72731249	20.07908304	0.853565629	4.301221574
0.01071146	0.773642146	30.80812499	21.56568749	15.60813099	1.123478926	0.316209487
0.01071146	0.773642146	30.80812499	24.64649999	17.02189929	1.239714001	0.924872403
0.01071146	0.773642146	30.80812499	27.72731249	20.07908304	0.999587823	2.580732945
0.01071146	0.773642146	30.80812499	27.72731249	20.07908304	0.693759693	0.860244315
